dien_tich_m2,so_phong,khoang_cach_km,gia_nha_ty
81.2,3,18.9,3.21
144.6,5,18.0,7.18
120.5,1,12.4,5.4
105.9,2,18.5,4.02
57.2,4,2.7,5.06
57.2,1,4.7,3.99
46.4,4,1.9,4.42
135.3,2,7.2,7.74
106.1,2,8.4,5.94
117.9,1,6.2,6.31
42.3,2,16.7,1.49
146.7,5,7.8,9.25
131.6,2,6.3,7.42
63.4,4,11.3,4.26
60.0,4,3.7,4.19
60.2,4,16.2,3.18
73.5,4,2.4,5.73
97.7,5,19.8,4.55
87.5,3,15.7,4.15
72.0,1,4.8,3.89
107.3,4,1.1,7.54
55.3,2,16.5,2.18
72.1,4,14.4,4.21
80.3,2,14.9,3.46
90.2,2,15.7,3.76
126.4,4,2.4,8.23
62.0,5,7.8,4.86
96.6,2,3.2,6.23
105.2,2,17.4,4.32
45.1,4,12.8,2.86
